Date,Brand,City,State,Odometer,MPG
1/1/2014,Texaco,Mariposa,CA,6,6876
1/1/2014,Texaco,Mariposa,CA,6,4678
2/1/2014,Chevron,Berkeley,CA,7,6789
3/1/2014,Chevron,Tahoe City,CA,8,7890
4/1/2014,Chevron,Meyers,CA,9,7890
5/1/2014,Chevron,San Rafael,CA,9,8909
6/1/2014,Chevron,Berkeley,CA,7,7980
7/1/2014,Chevron,Tehachapi,CA,5,9876
8/1/2014,Chevron,Hurricane,UT,3,9876
9/1/2014,Chevron,Bryce,UT,7,9987
10/1/2014,Texaco,Scipio,UT,5,9989
11/1/2014,Chevron,Ely,NV,7,3789
12/1/2014,Chevron,Colfax,CA,7,9789
