Date,Brand,City,State,Odometer,MPG
1/1/2010,Texaco,Mariposa,CA,10,9876
1/10/2010,Texaco,Mariposa,CA,10,5678
2/1/2010,Chevron,Berkeley,CA,8,6789
3/1/2010,Chevron,Tahoe City,CA,7,7890
4/1/2010,Chevron,Meyers,CA,7,7890
5/1/2010,Chevron,San Rafael,CA,5,8909
6/1/2010,Chevron,Berkeley,CA,6,7980
7/1/2010,Chevron,Tehachapi,CA,4,9876
8/1/2010,Chevron,Hurricane,UT,4,9876
9/1/2010,Chevron,Bryce,UT,2,9987
10/1/2010,Texaco,Scipio,UT,1,9989
11/1/2010,Chevron,Ely,NV,3,9789
12/1/2010,Chevron,Colfax,NV,3,9789
