Date,Brand,City,State,Odometer,MPG
1/1/2013,Texaco,Mariposa,CA,2,6876
1/1/2013,Texaco,Mariposa,CA,2,4678
2/1/2013,Chevron,Berkeley,CA,1,6789
3/1/2013,Chevron,Tahoe City,CA,1,7890
4/1/2013,Chevron,Meyers,CA,1,7890
5/1/2013,Chevron,San Rafael,CA,1,8909
6/1/2013,Chevron,Berkeley,CA,3,7980
7/1/2013,Chevron,Tehachapi,CA,3,9876
8/1/2013,Chevron,Hurricane,UT,3,9876
9/1/2013,Chevron,Bryce,UT,4,9987
10/1/2013,Texaco,Scipio,UT,5,9989
11/1/2013,Chevron,Ely,NV,7,3789
12/1/2013,Chevron,Colfax,CA,7,9789
